"tt0086873","Comedy,Fantasy,Romance"
"tt0086879","Biography,Drama,History"
"tt0086927","Comedy"
"tt0086935","Comedy,Drama"
"tt0086960","Action,Comedy,Crime"
"tt0086969","Drama,War"
"tt0086973","Comedy,Romance"
"tt0086979","Crime,Drama,Thriller"
"tt0086984","Mystery,Thriller"
"tt0086993","Action,Adventure,Drama"
"tt0086998","Comedy,Drama,Music"
"tt0087003","Comedy"
"tt0087004","Comedy,Sci-Fi"
"tt0087015","Horror,Sci-Fi"
"tt0087032","Action,Comedy"
"tt0087050","Horror,Thriller"
"tt0087062","Action,Comedy,Crime"
"tt0087065","Action,Adventure,Crime"
"tt0087075","Drama,Fantasy,Horror"
"tt0087078","Action,Adventure,Fantasy"
"tt0087089","Crime,Drama,Music"
"tt0087100","Drama,Romance,Thriller"
"tt0087175","Action,Adventure,Horror"
"tt0087182","Action,Adventure,Sci-Fi"
"tt0087197","Comedy,Drama,Music"
"tt0087231","Biography,Crime,Drama"
"tt0087233","Drama,Romance"
"tt0087262","Action,Horror,Sci-Fi"
"tt0087277","Drama,Music,Romance"
"tt0087280","Crime,Drama,Thriller"
"tt0087298","Horror,Thriller"
"tt0087332","Action,Comedy,Fantasy"
"tt0087344","Action,Horror,Sci-Fi"
"tt0087363","Comedy,Fantasy,Horror"
"tt0087365","Adventure,Drama"
"tt0087414","Crime,Drama,Thriller"
"tt0087428","Comedy,Drama"
"tt0087451","Action,Adventure,Comedy"
"tt0087469","Action,Adventure"
"tt0087481","Action,Comedy"
"tt0087507","Comedy,Crime"
"tt0087538","Action,Drama,Family"
"tt0087544","Adventure,Animation,Fantasy"
"tt0087553","Biography,Drama,History"
"tt0087578","Action,Comedy,Crime"
"tt0087597","Action,Adventure,Sci-Fi"
"tt0087622","Horror,Sci-Fi"
"tt0087635","Comedy"
"tt0087727","Action,Adventure,Drama"
"tt0087747","Comedy,Drama,Romance"
"tt0087755","Adventure,Comedy,Drama"
"tt0087781","Drama,Sport"
"tt0087799","Comedy,Horror,Sci-Fi"
"tt0087800","Horror"
"tt0087803","Drama,Sci-Fi"
"tt0087843","Crime,Drama"
"tt0087884","Drama"
"tt0087892","Adventure,Drama,History"
"tt0087909","Horror,Mystery"
"tt0087910","Adventure,Drama,Romance"
"tt0087921","Drama"
"tt0087928","Comedy"
"tt0087932","Action,Comedy,Crime"
"tt0087957","Drama,Music,Musical"
"tt0087981","Horror,Thriller"
"tt0087985","Action,Drama"
"tt0087995","Comedy,Crime,Sci-Fi"
"tt0088000","Comedy"
"tt0088007","Drama"
"tt0088011","Action,Adventure,Comedy"
"tt0088015","Adventure,Drama,Family"
"tt0088024","Action,Crime,Sci-Fi"
